Date,CrudeOil,SP500
2015-04-01,50.09,2059.689941
2015-04-02,49.139999,2066.959961
2015-04-06,52.139999,2080.620117
2015-04-07,53.98,2076.330078
2015-04-08,50.419998,2081.899902
2015-04-09,50.790001,2091.179932
2015-04-10,51.639999,2102.060059
2015-04-13,51.91,2092.429932
2015-04-14,53.290001,2095.840088
2015-04-15,56.389999,2106.629883
2015-04-16,56.709999,2104.98999
2015-04-17,55.740002,2081.179932
2015-04-20,56.380001,2100.399902
2015-04-21,55.259998,2097.290039
2015-04-22,56.16,2107.959961
2015-04-23,57.740002,2112.929932
2015-04-24,57.150002,2117.689941
2015-04-27,56.990002,2108.919922
2015-04-28,57.060001,2114.76001
2015-04-29,58.580002,2106.850098
2015-04-30,59.630001,2085.51001
2015-05-01,59.150002,2108.290039
2015-05-04,58.93,2114.48999
2015-05-05,60.400002,2089.459961
2015-05-06,60.93,2080.149902
2015-05-07,58.939999,2088
2015-05-08,59.389999,2116.100098
2015-05-11,59.25,2105.330078
2015-05-12,60.75,2099.120117
2015-05-13,60.5,2098.47998
2015-05-14,59.880001,2121.100098
2015-05-15,59.689999,2122.72998
2015-05-18,59.43,2129.199951
2015-05-19,57.259998,2127.830078
2015-05-20,58.98,2125.850098
2015-05-21,60.720001,2130.820068
2015-05-22,59.720001,2126.060059
2015-05-26,58.029999,2104.199951
2015-05-27,57.509998,2123.47998
2015-05-28,57.68,2120.790039
2015-05-29,60.299999,2107.389893
2015-06-01,60.200001,2111.72998
2015-06-02,61.259998,2109.600098
2015-06-03,59.639999,2114.070068
2015-06-04,58,2095.840088
2015-06-05,59.130001,2092.830078
2015-06-08,58.139999,2079.280029
2015-06-09,60.139999,2080.149902
2015-06-10,61.43,2105.199951
2015-06-11,60.77,2108.860107
2015-06-12,59.959999,2094.110107
2015-06-15,59.52,2084.429932
2015-06-16,59.970001,2096.290039
2015-06-17,59.919998,2100.439941
2015-06-18,60.450001,2121.23999
2015-06-19,59.610001,2109.98999
2015-06-22,59.68,2122.850098
2015-06-23,61.009998,2124.199951
2015-06-24,60.27,2108.580078
2015-06-25,59.700001,2102.310059
2015-06-26,59.630001,2101.48999
2015-06-29,58.330002,2057.639893
2015-06-30,59.470001,2063.110107
2015-07-01,56.959999,2077.419922
2015-07-02,56.93,2076.780029
2015-07-06,52.529999,2068.76001
2015-07-07,52.330002,2081.340088
2015-07-08,51.650002,2046.680054
2015-07-09,52.779999,2051.310059
2015-07-10,52.740002,2076.620117
2015-07-13,52.200001,2099.600098
2015-07-14,53.040001,2108.949951
2015-07-15,51.41,2107.399902
2015-07-16,50.91,2124.290039
2015-07-17,50.889999,2126.639893
2015-07-20,50.150002,2128.280029
2015-07-21,50.360001,2119.209961
2015-07-22,49.189999,2114.149902
2015-07-23,48.450001,2102.149902
2015-07-24,48.139999,2079.649902
2015-07-27,47.389999,2067.639893
2015-07-28,47.98,2093.25
2015-07-29,48.790001,2108.570068
2015-07-30,48.52,2108.629883
2015-07-31,47.119999,2103.840088
2015-08-03,45.169998,2098.040039
2015-08-04,45.740002,2093.320068
2015-08-05,45.150002,2099.840088
2015-08-06,44.66,2083.560059
2015-08-07,43.869999,2077.570068
2015-08-10,44.959999,2104.179932
2015-08-11,43.080002,2084.070068
2015-08-12,43.299999,2086.050049
2015-08-13,42.23,2083.389893
2015-08-14,42.5,2091.540039
2015-08-17,41.869999,2102.439941
2015-08-18,42.619999,2096.919922
2015-08-19,40.799999,2079.610107
2015-08-20,41.139999,2035.72998
2015-08-21,40.450001,1970.890015
2015-08-24,38.240002,1893.209961
2015-08-25,39.310001,1867.609985
2015-08-26,38.599998,1940.51001
2015-08-27,42.560001,1987.660034
2015-08-28,45.220001,1988.869995
2015-08-31,49.200001,1972.180054
2015-09-01,45.41,1913.849976
2015-09-02,46.25,1948.859985
2015-09-03,46.75,1951.130005
2015-09-04,46.049999,1921.219971
2015-09-08,45.939999,1969.410034
2015-09-09,44.150002,1942.040039
2015-09-10,45.919998,1952.290039
2015-09-11,44.630001,1961.050049
2015-09-14,44,1953.030029
2015-09-15,44.59,1978.089966
2015-09-16,47.150002,1995.310059
2015-09-17,46.900002,1990.199951
2015-09-18,44.68,1958.030029
2015-09-21,46.68,1966.969971
2015-09-22,45.830002,1942.73999
2015-09-23,44.48,1938.76001
2015-09-24,44.91,1932.23999
2015-09-25,45.700001,1931.339966
2015-09-28,44.43,1881.77002
2015-09-29,45.23,1884.089966
2015-09-30,45.09,1920.030029
2015-10-01,44.740002,1923.819946
2015-10-02,45.540001,1951.359985
2015-10-05,46.259998,1987.050049
2015-10-06,48.529999,1979.920044
2015-10-07,47.810001,1995.829956
2015-10-08,49.43,2013.430054
2015-10-09,49.630001,2014.890015
2015-10-12,47.099998,2017.459961
2015-10-13,46.66,2003.689941
2015-10-14,46.639999,1994.23999
2015-10-15,46.380001,2023.859985
2015-10-16,47.259998,2033.109985
